"MaterialType" "Materials_Details_EN" "Notes"
"6471" "ハンノキ果実 果実鱗片" "fruit /achenes etc fruit scale Japanese alder (Alnus japonica) fruit Japanese alder (Alnus japonica)​" ""
"6472" "ハンノキ果実、イヌシデ果実、アサダ果実" "fruit /achenes etc East Asian hornbeam (Ostrya japonica) Chonowski's hornbeam (Carpinus tschonoskii) Japanese alder (Alnus japonica) fruit Japanese alder (Alnus japonica)​" ""
"6473" "ハンノキ果実鱗片" "fruit /achenes etc fruit scale Japanese alder (Alnus japonica) fruit Japanese alder (Alnus japonica)​" ""
"5539" "ハンノキ類" "Japanese alder (Alnus japonica)​" ""
"8985" "ピート" "peat moss" ""
"14064" "ヒエ" "barnyard millet (Echinochloa)" ""
"38368" "ヒシ" "fruit /nuts, water caltrop (Trapa natans var. bispinosa)" ""
"38933" "ヒシ属果皮" "pericarp, water caltrop (Trapa sp.)" ""
"8294" "ヒシ種子" "seed Water caltrop (Trapa natans var. bispinosa)" ""
"24064" "ヒトの歯" "human tooth" ""
"9726" "ヒトの歯(上顎右第2乳臼歯)" "human right upper jaw molar tooth" ""
"20847" "ヒト下顎骨" "human manidble" ""
"10360" "ヒト右上顎第2大臼歯" "human right upper jaw molar tooth" ""
"10359" "ヒト左下顎第3大臼歯" "human left molar tooth" ""
"35939" "ヒト腓骨" "human fibula" ""
"11252" "ヒト遊離歯" "human tooth" ""
"17105" "ヒト頭蓋骨" "human skull" ""
"8640" "ヒト頭骨側頭骨" "human skull temporal bone" ""
"10282" "ヒメグルミ核" "walnut (Juglans sp.) Himegurumi" ""
"26078" "ひょうたん" "bottle gourd (Lagenaria siceraria)" ""
"7021" "ひょうたんの皮" "bottle gourd (Lagenaria siceraria)" ""
"6869" "ヒョウタン果実" "fruit /achenes etc bottle gourd (Lagenaria siceraria)" ""
"37310" "ヒョウタン種子" "seed, bottle gourd (Lagenaria siceraria)" ""
"24273" "ヒョウタン類(種子)" "seed bottle gourd (Lagenaria siceraria)" ""
"33951" "ヒラメ椎骨" "flounders (Pleuronectoidei: mainly Paralichthys sp.) vertebra" ""
"8686" "ブタ第2後臼歯" "pig (Sus scrofa domesticus) molar tooth" ""
"6904" "ブドウ属種子" "seed grapes (Vitaceae)" ""
"34443" "ブドウ科種子" "seed grapes (Vitaceae)" ""
"44484" "フトコロガイ科フトコロガイ(Euplica versicolor)"  "Needs translation"
"19211" "ブナ果実" "fruit /achenes etc beech (Fagaceae)" ""
"8245" "フルボ酸" "Fulvic acid" ""
"33389" "フローテーション採集資料" "floated material" ""
"21637" "ヘビ貝" "snake shell? (Serpulorbis imbricatus)?" ""
"29154" "ボーリングコア" "borehole core" ""
"38660" "ボーリングコアから採取した試料" "borehole core sample, soil" ""
"11263" "ホタテガイ" "Japanese scallop (Mizuhopecten (syn. Patinopecten) yessoensis)" ""
"6899" "ホタルイ属果実" "fruit /achenes etc club-rush (Scirpus / Bolboschoenus / Schoenoplectus sp.) bulrush (Schoenoplectiella juncoides syn. Scirpus juncoides)" ""
"21566" "マイルカ 頭蓋骨" "dolphin /toothed whales (odontocetes) skull" ""
"21676" "マイルカ骨" "dolphin /toothed whales (odontocetes)" ""
"5339" "マガキ" "Pacific oyster (Crassostrea gigas)​" ""
"6151" "マガキ貝殻" "Pacific oyster (Crassostrea gigas)​" ""
"20810" "マグロ属腹椎" "tuna (Thunnini)" ""
"6933" "マクワ･シロウリ型種子" "seed melon (Cucumis melo) shirori melon (Cucumis melo var. utilissimus) melon/gourd (Cucurbitaceae)" ""
"18533" "マコモ層" "Manchurian wild rice (Zizania latifolia)​" ""
"37656" "マダケ属" "wood, Japanese timber bamboo (Phyllostachys bambsoides)" ""
"37657" "マツ属複維管束亜属" "wood, pine (Pinus sp.) subgen compound vascular" ""
"5535" "マツ類" "pine (Pinus sp.)" ""
"38002" "マツ類の毬果" "pinecone, pine (Pinus sp.)" ""
"9049" "マテガイ" "Gould's Razor Shell (Solen strictus)" ""
"32817" "マメもしくはドングリ子葉" "cotyledon oak (Quercus) legume (Fabaceae)" ""
"9698" "マメ類" "legume (Fabaceae)" ""
"44483" "マルスダレガイ科ヌノメガイ(Periglypta puerpera)"  "Needs translation"
"41992" "ミカン割材"  "Needs translation"
"39223" "ミカン割材（アカガシ亜属材）" "material, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"37676" "みかん割材外" "split wood (outside), wood indet." ""
"6901" "ミクリ属果実" "fruit /achenes etc chestnut (Castanea crenata)" ""
"5590" "ムクロジ" "soapberry (Sapindaceae)" "Multiple translations"
