"Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
"Organic Residue from Pottery","土器に付着した炭化物",NA,FALSE
"Organic Residue from Pottery","土器付着スス",NA,FALSE
"Wood","土器付着木質",NA,FALSE
"Lacquer","土器付着漆",NA,FALSE
"Lacquer","土器付着漆?",NA,FALSE
"Lacquer","土器付着漆膜",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物　内面（おこげ）試料を採取した土器：個体番号No.2",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物　炭質物",NA,FALSE
"Charred Seed","土器付着炭化物(アサ種実)",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（スス）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（内外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物(内面)",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物(内面底部)",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（口縁外）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（口縁部内面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（口縁部外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物(吹きこぼれの可能性大)",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（外面　後期初頭）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物(外面)",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（底内）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（底部付近外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（底部内面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（復元No.遺10）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（復元No.遺2）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（復元No.遺5）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢　口縁部外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢　胴部外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢・胴部内面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢・胴部外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢口縁内）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢口縁外）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢口縁部外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢外面口縁部）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢底内）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢胴内）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢胴外）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢胴外口縁部）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（深鉢胴部外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物(焦)",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物(煤)",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物(煤類)",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（胴下部～底部内面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（胴外）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（胴部内面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（胴部外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（貝殻文尖底　口縁部外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物（貝殻文平底　口縁部外面）",NA,FALSE
"Organic Residue from Pottery","土器付着炭化物深鉢（口縁内）",NA,FALSE
"Organic Residue from Pottery","土器付着煤",NA,FALSE
"Organic Residue from Pottery","土器付着煤状炭化物",NA,FALSE
"Organic Residue from Pottery","土器付着物",NA,TRUE
"Other unknown samples","土器付着物",NA,TRUE
"Organic Residue from Pottery","土器付着物　口縁内",NA,FALSE
"Organic Residue from Pottery","土器付着物　口縁外",NA,FALSE
"Organic Residue from Pottery","土器付着物　口縁外,胴内",NA,FALSE
"Organic Residue from Pottery","土器付着物　口縁外,胴外",NA,FALSE
"Organic Residue from Pottery","土器付着物　有機物(胎土混じり)",NA,FALSE
"Organic Residue from Pottery","土器付着物　樹脂?",NA,FALSE
"Lacquer","土器付着物　漆",NA,FALSE
"Lacquer","土器付着物　漆?",NA,FALSE
"Organic Residue from Pottery","土器付着物　炭化物",NA,FALSE
"Organic Residue from Pottery","土器付着物　胴内",NA,FALSE
"Organic Residue from Pottery","土器付着物　胴外",NA,FALSE
"Organic Residue from Pottery","土器付着物・内面(おこげ)",NA,FALSE
"Organic Residue from Pottery","土器付着物･内面(おこげ)",NA,FALSE
"Organic Residue from Pottery","土器付着物･内面（おこげ）",NA,FALSE
"Seed","土器付着物･内面(クルミ属核破片)",NA,FALSE
"Organic Residue from Pottery","土器付着物・外面",NA,FALSE
"Organic Residue from Pottery","土器付着物･外面(ふきこぼれ)",NA,FALSE
"Organic Residue from Pottery","土器付着物,",NA,FALSE
"Organic Residue from Pottery","土器付着物,コメ,胴外上",NA,FALSE
"Organic Residue from Pottery","土器付着物,ドングリ,底部内面",NA,FALSE
"Organic Residue from Pottery","土器付着物,上位・外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,不明,",NA,FALSE
"Organic Residue from Pottery","土器付着物,不明,不明",NA,FALSE
"Organic Residue from Pottery","土器付着物,内面",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁下",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁下外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁内",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁内下",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁外",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁外・胴外",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁外上",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁外下",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁突帯下部",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁部・内面",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁部・外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁部下外面（口外）",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁部下面・外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁部内面",NA,FALSE
"Organic Residue from Pottery","土器付着物,口縁部外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,口胴外",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,口縁外",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,口縁外・胴外",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,口縁外・胴外上",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,口縁外・胴外下",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,口縁外上",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,口縁部外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,口胴外",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹，煤,胴部中位外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,胴内",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,胴外",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,胴外上",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,胴外中",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,胴部中位外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,胴部外面",NA,FALSE
"Organic Residue from Pottery","土器付着物,吹,身内面",NA,FALSE
